name,provincia_provincia_id,deparamento_id
LOS ANDES,17,352
CERRILLOS,17,353
MOLINOS,17,354
IRUYA,17,355
GUACHIPAS,17,356
ROSARIO DE LA FRONTERA,17,357
CACHI,17,358
LA VIÑA,17,359
ROSARIO DE LERMA,17,360
ZONDA,18,361
JACHAL,18,362
POCITO,18,363
CAUCETE,18,364
CALINGASTA,18,365
ULLUM,18,366
IGLESIA,18,367
ANGACO,18,368
VALLE FERTIL,18,369
SANTA LUCIA,18,370
ALBARDON,18,371
CHIMBAS,18,372
GENERAL PEDERNERA,19,373
LIBERTADOR GENERAL SAN MARTÍN,19,374
CORONEL PRINGLES,19,375
JUNIN,19,376
AYACUCHO,19,377
CHACABUCO,19,378
JUAN MARTÍN DE PUEYRREDÓN,19,379
GOBERNADOR DUPUY,19,380
LAGO ARGENTINO,20,381
DESEADO,20,382
MAGALLANES,20,383
GUER AIKE,20,384
RÍO CHICO,20,385
CORPEN AIKE,20,386
LAGO BUENOS AIRES,20,387
CONSTITUCION,21,388
IRIONDO,21,389
CASTELLANOS,21,390
CASEROS,21,391
ROSARIO,21,392
SAN CRISTOBAL,21,393
LAS COLONIAS,21,394
GENERAL LOPEZ,21,395
SAN MARTIN,21,396
GENERAL OBLIGADO,21,397
SAN JAVIER,21,398
SAN JERONIMO,21,399
VERA,21,400
SAN JUSTO,21,401
LA CAPITAL,21,402
BELGRANO,21,403
9 DE JULIO,21,404
GARAY,21,405
SAN LORENZO,21,406
SALAVINA,22,407
SARMIENTO,22,408
AGUIRRE,22,409
ALBERDI,22,410
GUASAYAN,22,411
BANDA,22,412
CAPITAL,22,413
COPO,22,414
JUAN F IBARRA,22,415
PELLEGRINI,22,416
ROBLES,22,417
ATAMISQUI,22,418
AVELLANEDA,22,419
LORETO,22,420
FIGUEROA,22,421
GENERAL TABOADA,22,422
JIMENEZ,22,423
MORENO,22,424
OJO DE AGUA,22,425
RIO HONDO,22,426
SILIPICA,22,427
CHOYA,22,428
QUEBRACHOS,22,429
MITRE,22,430
USHUAIA,23,431
ISLAS DEL ATLANTICO SUR,23,432
RIO GRANDE,23,433
ANTÁRTIDA ARGENTINA,23,434
TOLHUIN,23,435
CRUZ ALTA,24,436
CHICLIGASTA,24,437
SIMOCA,24,438
MONTEROS,24,439
TAFI DEL VALLE,24,440
LEALES,24,441
LULES,24,442
BURRUYACU,24,443
RIO CHICO,24,444
TAFI VIEJO,24,445
YERBA BUENA,24,446
LA COCHA,24,447
JUAN B ALBERDI,24,448
TRANCAS,24,449
GRANEROS,24,450
FAMAILLA,24,451
