name,departamento,departamento_deparamento_id,muncipio_id
CAMINIAGA,SOBREMONTE,195,1854
CAMPANA,CAMPANA,35,1855
CAMPO ANDINO,LA CAPITAL,402,1856
CAMPO GALLO,ALBERDI,410,1857
CAMPO GRANDE,PELLEGRINI,416,1858
CAMPO LARGO,INDEPENDENCIA,140,1859
CAMPO PIAGGIO,SAN JERONIMO,399,1860
CAMPO QUIJANO,ROSARIO DE LERMA,360,1861
CAMPO RAMON,OBERA,308,1862
CAMPO SANTO,GENERAL GUEMES,133,1863
CAMPO VIERA,OBERA,308,1864
CANALS,UNION,178,1865
CANDELARIA,AYACUCHO,377,1866
CANDELARIA SUD,TOTORAL,189,1867
CANDIOTI,LA CAPITAL,402,1868
CANGREJILLOS,YAVI,255,1869
CAÑADA DE GOMEZ,IRIONDO,389,1870
CAÑADA DE LUQUE,TOTORAL,189,1871
CAÑADA DE MACHADO,RIO PRIMERO,185,1872
CAÑADA DE RIO PINTO,ISCHILIN,176,1873
CAÑADA DEL SAUCE,CALAMUCHITA,179,1874
CAÑADA DEL UCLE,GENERAL LOPEZ,395,1875
CAÑADA ESCOBAR,BANDA,412,1876
CAÑADA OMBU,VERA,400,1877
CAÑADA RICA,CONSTITUCION,388,1878
CAÑADA ROSQUIN,SAN MARTIN,396,1879
CAÑADON SECO,DESEADO,382,1880
CAÑUELAS,CAÑUELAS,64,1881
CAPAYAN,CAPAYAN,123,1882
CAPILLA DE LOS REMEDIOS,RIO PRIMERO,185,1883
CAPILLA DEL CARMEN,RIO SEGUNDO,187,1884
CAPILLA DEL MONTE,PUNILLA,186,1885
CAPILLA DEL SITON,TOTORAL,189,1886
CAPIOVI,LIBERTADOR GENERAL SAN MARTÍN,374,1887
CAPITAL,CAPITAL,413,1888
CAPITAN BERMUDEZ,SAN LORENZO,406,1889
CAPITAN CACERES,MONTEROS,439,1890
CAPITAN GENERAL BERNARDO O HIGGINS,MARCOS JUAREZ,183,1891
CAPITAN SARMIENTO,CAPITAN SARMIENTO,57,1892
CAPITAN SOLARI,SARGENTO CABRAL,134,1893
CAPIVARA,SAN CRISTOBAL,393,1894
CARAGUATAY,MONTECARLO,312,1895
CARCARAÑA,SAN LORENZO,406,1896
CARLOS CASARES,CARLOS CASARES,65,1897
CARLOS PELLEGRINI,SAN MARTIN,396,1898
CARLOS TEJEDOR,CARLOS TEJEDOR,92,1899
CARMEN,GENERAL LOPEZ,395,1900
CARMEN DE ARECO,CARMEN DE ARECO,15,1901
CARMEN DEL SAUCE,ROSARIO,392,1902
CARNERILLO,JUAREZ CELMAN,191,1903
CAROLINA,GOYA,200,1904
CARPINTERIA,JUNIN,376,1905
CARRENLEUFU,LANGUIÑEO,147,1906
CARRERAS,GENERAL LOPEZ,395,1907
CARRILOBO,RIO SEGUNDO,187,1908
CARRIZALES,IRIONDO,389,1909
CARRO QUEMADO,LOVENTUE,271,1910
CASA DE PIEDRA,PUELEN,262,1911
CASA GRANDE,PUNILLA,186,1912
CASALEGNO,SAN JERONIMO,399,1913
CASARES,AGUIRRE,409,1914
CASAS,SAN MARTIN,396,1915
CASEROS,URUGUAY,231,1916
CASILDA,CASEROS,391,1917
CASPALA,VALLE GRANDE,252,1918
CASPI CORRAL,FIGUEROA,421,1919
CASTELAR,SAN MARTIN,396,1920
CASTELLANOS,CASTELLANOS,390,1921
CASTELLI,CASTELLI,27,1922
CASTRO BARROS,CASTRO BARROS,292,1923
CATRIEL,GENERAL ROCA,188,1924
CATRILO,CATRILO,269,1925
CATUA,SUSQUES,253,1926
CAUCETE,CAUCETE,364,1927
CAVANAGH,MARCOS JUAREZ,183,1928
CAVIAHUE - COPAHUE,ÑORQUIN,327,1929
CAVOUR,LAS COLONIAS,394,1930
CAYASTA,GARAY,405,1931
CAYASTACITO,SAN JUSTO,401,1932
CAZADORES CORRENTINOS,CURUZU CUATIA,205,1933
CEBALLOS,CHAPALEUFU,267,1934
CECILIO ECHAVARRIA,LAVALLE,198,1935
CEIBAS,ISLAS DEL IBICUY,227,1936
CENTENARIO,CONFLUENCIA,316,1937
CENTENO,SAN JERONIMO,399,1938
CEPEDA,CONSTITUCION,388,1939
CERES,SAN CRISTOBAL,393,1940
CERRILLOS,CERRILLOS,353,1941
CERRITO,PARANA,229,1942
CERRO AZUL,LEANDRO N. ALEM,311,1943
CERRO CENTINELA,FUTALEUFU,151,1944
CERRO COLORADO,RIO SECO,180,1945
CERRO CORA,CANDELARIA,309,1946
CERRO POLICIA,EL CUY,331,1947
CERVANTES,GENERAL ROCA,188,1948
CEVIL REDONDO,YERBA BUENA,446,1949
CHABAS,CASEROS,391,1950
CHACABUCO,CHACABUCO,378,1951
CHACHARRAMENDI,UTRACAN,259,1952
CHAJAN,RIO CUARTO,193,1953
CHAJARI,FEDERACION,219,1954
CHALACEA,RIO PRIMERO,185,1955
CHAMICAL,CHAMICAL,281,1956
CHANCANI,POCHO,181,1957
CHAÑAR LADEADO,CASEROS,391,1958
CHAÑAR VIEJO,RIO SECO,180,1959
CHAPUY,GENERAL LOPEZ,395,1960
CHARADAI,TAPENAGA,143,1961
CHARATA,CHACABUCO,378,1962
CHARBONIER,PUNILLA,186,1963
CHARRAS,JUAREZ CELMAN,191,1964
CHASCOMUS,CHASCOMUS,55,1965
CHAUCHILLAS,RIO HONDO,426,1966
CHAUPI POZO,BANDA,412,1967
CHAVARRIA,SAN ROQUE,204,1968
CHAZON,GENERAL SAN MARTIN,182,1969
CHELFORO,AVELLANEDA,419,1970
CHICHINALES,GENERAL ROCA,188,1971
CHICLIGASTA,SIMOCA,438,1972
CHICOANA,CHICOANA,349,1973
CHILCA JULIANA,SALAVINA,407,1974
CHILCAS,VICTORIA,232,1975
CHILECITO,CHILECITO,285,1976
CHILIBROSTE,UNION,178,1977
CHIMBAS,CHIMBAS,372,1978
CHIMPAY,AVELLANEDA,419,1979
CHIPAUQUIL,VALCHETA,333,1980
CHIVILCOY,CHIVILCOY,85,1981
CHOELE CHOEL,AVELLANEDA,419,1982
CHOLILA,CUSHAMEN,150,1983
CHOROMORO,TRANCAS,449,1984
CHOROTIS,FRAY JUSTO SANTA MARÍA DE ORO,145,1985
CHORRIACA,LONCOPUE,320,1986
CHOS MALAL,CHOS MALAL,319,1987
CHOVET,GENERAL LOPEZ,395,1988
CHOYA,CHOYA,428,1989
CHRISTOPHERSEN,GENERAL LOPEZ,395,1990
CHUCUL,RIO CUARTO,193,1991
CHUÑA,ISCHILIN,176,1992
CHUÑA HUASI,SOBREMONTE,195,1993
CHURQUI CAÑADA,TULUMBA,196,1994
CIENAGA DEL CORO,MINAS,177,1995
CIENEGUILLAS,SANTA CATALINA,250,1996
CIERVO PETISO,LIBERTADOR GENERAL SAN MARTÍN,374,1997
CINCO SALTOS,GENERAL ROCA,188,1998
CINTRA,UNION,178,1999
CIPOLLETTI,GENERAL ROCA,188,2000
CIUDACITA,SIMOCA,438,2001
CLASSON,IRIONDO,389,2002
CLEMENTE ONELLI,25 DE MAYO,332,2003
CLODOMIRA,BANDA,412,2004
CLODOMIRO LEDESMA,CONCORDIA,233,2005
CLORINDA,PILCOMAYO,238,2006
COLALAO DEL VALLE,TAFI DEL VALLE,440,2007
COLAN CONHUE,LANGUIÑEO,147,2008
COLAN CONUE,25 DE MAYO,332,2009
COLAZO,RIO SEGUNDO,187,2010
COLOMBRES,CRUZ ALTA,436,2011
COLON,COLON,2,2012
COLONIA 25 DE MAYO,PUELEN,262,2013
COLONIA ABORIGEN,25 DE MAYO,332,2014
COLONIA ADIVINO,VILLAGUAY,225,2015
COLONIA ALBERDI,OBERA,308,2016
COLONIA ALDAO,CASTELLANOS,390,2017
COLONIA ALEMANA,FEDERACION,219,2018
COLONIA ALMADA,TERCERO ARRIBA,190,2019
COLONIA ALPINA,RIVADAVIA,350,2020
COLONIA ANA,SAN CRISTOBAL,393,2021
COLONIA ANITA,SAN JUSTO,401,2022
COLONIA AURORA,25 DE MAYO,332,2023
COLONIA AVELLANEDA,PARANA,229,2024
COLONIA AVIGDOR,LA PAZ,221,2025
COLONIA AYUI,CONCORDIA,233,2026
COLONIA BARGE,MARCOS JUAREZ,183,2027
COLONIA BARON,QUEMU QUEMU,266,2028
COLONIA BAYLINA,SAN SALVADOR,230,2029
COLONIA BELGRANO,SAN MARTIN,396,2030
COLONIA BENITEZ,1° DE MAYO,139,2031
COLONIA BICHA,CASTELLANOS,390,2032
COLONIA BIGAND,CASTELLANOS,390,2033
COLONIA BISMARCK,UNION,178,2034
COLONIA BOSSI,SAN CRISTOBAL,393,2035
COLONIA BREMEN,UNION,178,2036
COLONIA CARLOS PELLEGRINI,SAN MARTIN,396,2037
COLONIA CAROYA,COLON,2,2038
COLONIA CARRASCO,LA PAZ,221,2039
COLONIA CELINA,PARANA,229,2040
COLONIA CELLO,CASTELLANOS,390,2041
COLONIA CRESPO,PARANA,229,2042
COLONIA DELICIA,ELDORADO,310,2043
COLONIA DOLORES,SAN JUSTO,401,2044
COLONIA DORA,AVELLANEDA,419,2045
COLONIA DURAN,SAN JAVIER,398,2046
COLONIA EL SIMBOLAR,ROBLES,417,2047
COLONIA ELIA,URUGUAY,231,2048
COLONIA ELISA,SARGENTO CABRAL,134,2049
COLONIA ENSAYO,DIAMANTE,224,2050
COLONIA GENERAL ROCA,CONCORDIA,233,2051
COLONIA ITALIANA,MARCOS JUAREZ,183,2052
