name,municipio,name_id,municipio_id
ALDEA BRASILERA,ALDEA BRASILERA,319,1653
PARAJE LA VIRGEN,ALDEA BRASILERA,320,1653
ALDEA EIGENFELD,ALDEA EIGENFELD,321,1654
ALDEA EPULEF,ALDEA EPULEF,322,1655
ALDEA GRAPSCHENTAL,ALDEA GRAPSCHENTAL,323,1656
ALDEA MARIA LUISA,ALDEA MARIA LUISA,324,1657
COLONIA ALVEAR,ALDEA PROTESTANTE,325,1658
ALDEA PROTESTANTE,ALDEA PROTESTANTE,326,1658
ALDEA SALTO,ALDEA SALTO,327,1659
ALDEA SAN ANTONIO,ALDEA SAN ANTONIO,328,1660
COLONIA EL PARAISO,ALDEA SAN ANTONIO,329,1660
ALDEA SANTA CELIA,ALDEA SAN ANTONIO,330,1660
ALDEA SAN ANTONIO,ALDEA SAN ANTONIO,331,1660
ALDEA SAN JUAN,ALDEA SAN JUAN,332,1661
ALDEA SAN MIGUEL,ALDEA SAN MIGUEL,333,1662
CAMPO GARCIA,ALDEA SAN MIGUEL,334,1662
ALDEA SAN RAFAEL,ALDEA SAN RAFAEL,335,1663
CAMPO ZIEGLER,ALDEA SAN RAFAEL,336,1663
ALDEA SANTA MARIA,ALDEA SANTA MARIA,337,1664
CAMPO FURLAN,ALDEA SANTA MARIA,338,1664
ALDEA SANTA MARIA,ALDEA SANTA MARIA,339,1664
ANTONIO TOMAS,ALDEA SANTA MARIA,340,1664
ALDEA SANTA ROSA,ALDEA SANTA ROSA,341,1665
ALDEA SPATZENKUTTER,ALDEA SPATZENKUTTER,342,1666
ALDEA VALLE MARIA,ALDEA VALLE MARIA,343,1667
ALDEA SAN FRANCISCO,ALDEA VALLE MARIA,344,1667
EL CORTE,ALDERETES,345,1668
ALDERETES,ALDERETES,346,1668
LAS PIEDRITAS,ALDERETES,347,1668
LOS GUTIERREZ,ALDERETES,348,1668
BOCA DEL TIGRE,ALDERETES,349,1668
ALEJANDRA,ALEJANDRA,350,1669
LOS JACINTOS,ALEJANDRA,351,1669
COLONIA LA MARIA,ALEJANDRA,352,1669
EL PROGRESO,ALEJANDRA,353,1669
VILLA SAN ANTONIO,ALEJANDRA,354,1669
EL CEIBO,ALEJANDRA,355,1669
LOS CORRALITOS,ALEJANDRA,356,1669
COLONIA ALEJANDRA,ALEJANDRA,357,1669
LOS CUERVOS,ALEJANDRA,358,1669
ALEJANDRO ROCA,ALEJANDRO ROCA,359,1670
ALEJO LEDESMA,ALEJO LEDESMA,360,1671
ALGARROBO DEL AGUILA,ALGARROBO DEL AGUILA,361,1672
ALICIA,ALICIA,362,1673
BARRIO GUERRICO,ALLEN,363,1674
BARRIO CALLE CIEGA N° 10,ALLEN,364,1674
BARRIO EMERGENTE,ALLEN,365,1674
BARRIO BLANCO,ALLEN,366,1674
BARRIO CALLE CIEGA N° 6,ALLEN,367,1674
BARRIO EL MARUCHITO,ALLEN,368,1674
BARRIO LA HERRADURA,ALLEN,369,1674
ALLEN,ALLEN,370,1674
ALMAFUERTE,ALMAFUERTE,371,1675
PICADA YACUTINGA,ALMAFUERTE,372,1675
ALMAFUERTE,ALMAFUERTE,373,1675
ADROGUE,ALMIRANTE BROWN,374,1676
JOSE MARMOL,ALMIRANTE BROWN,375,1676
SAN JOSE,ALMIRANTE BROWN,376,1676
RAFAEL CALZADA,ALMIRANTE BROWN,377,1676
CLAYPOLE,ALMIRANTE BROWN,378,1676
MINISTRO RIVADAVIA,ALMIRANTE BROWN,379,1676
BURZACO,ALMIRANTE BROWN,380,1676
MALVINAS ARGENTINAS,ALMIRANTE BROWN,381,1676
GLEW,ALMIRANTE BROWN,382,1676
LONGCHAMPS,ALMIRANTE BROWN,383,1676
DON ORIONE,ALMIRANTE BROWN,384,1676
SAN FRANCISCO SOLANO,ALMIRANTE BROWN,385,1676
VILLA SANTA EUGENIA,ALPA CORRAL,386,1677
ALPA CORRAL,ALPA CORRAL,387,1677
ALPACHIRI,ALPACHIRI,388,1678
URDANE,ALPACHIRI,389,1678
ESTANCIA LA NATURAL,ALPACHIRI,390,1678
MUYO,ALPACHIRI Y EL MOLINO,391,1679
ALPACHIRI,ALPACHIRI Y EL MOLINO,392,1679
LAS LENGUAS,ALPACHIRI Y EL MOLINO,393,1679
EL MOLINO,ALPACHIRI Y EL MOLINO,394,1679
COCHUNA,ALPACHIRI Y EL MOLINO,395,1679
LA CALERA,ALPACHIRI Y EL MOLINO,396,1679
LAS PAVAS,ALPACHIRI Y EL MOLINO,397,1679
EL POTRERILLO,ALTA GRACIA,398,1680
ALTA GRACIA,ALTA GRACIA,399,1680
LA DONOSA,ALTA GRACIA,400,1680
VILLA BUENA ESPERANZA,ALTA GRACIA,401,1680
OJEDA,ALTA ITALIA,402,1681
ALTA ITALIA,ALTA ITALIA,403,1681
COLONIA EL CLAVO,ALTAMIRANO SUR,404,1682
ALTAMIRANO SUR,ALTAMIRANO SUR,405,1682
COLONIA EL ACEQUION,ALTO ALEGRE,406,1683
ALTO ALEGRE,ALTO ALEGRE,407,1683
CAMPO SANTA TERESA,ALTO ALEGRE,408,1683
LOS CHARCOS,ALTO DE LOS QUEBRACHOS,409,1684
ALTO DE LOS QUEBRACHOS,ALTO DE LOS QUEBRACHOS,410,1684
HUEJEDA,ALTO PELADO,411,1685
ALTO PELADO,ALTO PELADO,412,1685
